Date,ClientName,Side,Symbol,QuoteID,ClOrdID,OrderID,TransactTime,OrderQty,OrdType,Price,AvgPx,CumQty,LeavesQty,OrdStatus,Fee,FilledValue,OtherFee,AlgoNote,BasketID,username,ip,mac
2023-06-09,yytz_888867600047,S,002215.SZ,"20875132397000018	","2351416945278908417	","2351416945278908417	","93017621	",3300,"Limit	",7.59,7.59,3300,0,"Filled	",0.0,-25047.0,27.018199,1,,,,
2023-06-09,yytz_888867600047,S,600258.SH,"20875132397000063	","2351417013998385153	","2351417013998385153	","93017623	",300,"Limit	",19.95,19.95,300,0,"Filled	",0.0,-5985.0,6.45602,1,,,,
2023-06-09,yytz_888867600047,S,601003.SH,"20875132397000073	","2351417151437338624	","2351417151437338624	","93017624	",300,"Limit	",4.15,4.15,300,0,"Filled	",0.0,-1245.0,1.342982,1,,,,
2023-06-09,yytz_888867600047,S,605266.SH,"20875132397000102	","2351417220156815361	","2351417220156815361	","93017625	",300,"Limit	",76.24,76.61,300,0,"Filled	",0.0,-22983.0,24.791762,1,,,,
2023-06-09,yytz_888867600047,S,000538.SZ,"20875132397000008	","2351485527316690944	","2351485527316690944	","93018619	",1000,"Limit	",52.68,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,605066.SH,"20875132397000098	","2351486077072504834	","2351486077072504834	","93018627	",900,"Limit	",8.93,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,688599.SH,"20875132397000121	","2351554521671333888	","2351554521671333888	","93019623	",634,"Limit	",35.73,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,300146.SZ,"20875132397000045	","2351623172428593154	","2351623172428593154	","93020622	",1100,"Limit	",22.33,22.33,1100,0,"Filled	",0.0,-24563.0,26.496108,1,,,,
2023-06-09,yytz_888867600047,S,301239.SZ,"20875132397000058	","2351623378587023360	","2351623378587023360	","93020625	",200,"Limit	",120.2,120.2,200,0,"Filled	",0.0,-24040.0,25.931948,1,,,,
2023-06-09,yytz_888867600047,S,301087.SZ,"20875132397000055	","2351691960624805888	","2351691960624805888	","93021623	",500,"Limit	",48.12,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,688519.SH,"20875132397000117	","2351692029344282625	","2351692029344282625	","93021624	",535,"Limit	",23.32,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,605066.SH,"20875132397000098	","2351692166783236096	","2351692166783236096	","93021626	",1000,"Limit	",8.92,8.92,1000,0,"Filled	",0.0,-8920.0,9.622004,1,,,,
2023-06-09,yytz_888867600047,S,688516.SH,"20875132397000116	","2351692166783236097	","2351692166783236097	","93021626	",307,"Limit	",154.87,154.93,307,0,"Filled	",0.0,-47563.51,51.306758,1,,,,
2023-06-09,yytz_888867600047,S,600258.SH,"20875132397000063	","2351760680101541889	","2351760680101541889	","93022623	",900,"Limit	",19.93,19.93,900,0,"Filled	",0.0,-17937.0,19.348642,1,,,,
2023-06-09,yytz_888867600047,S,600351.SH,"20875132397000065	","2351760817540495360	","2351760817540495360	","93022625	",600,"Limit	",6.76,6.76,600,0,"Filled	",0.0,-4056.0,4.375207,1,,,,
2023-06-09,yytz_888867600047,S,601003.SH,"20875132397000073	","2351829537017231362	","2351829537017231362	","93023625	",3400,"Limit	",4.14,4.14,3400,0,"Filled	",0.0,-14076.0,15.183781,1,,,,
2023-06-09,yytz_888867600047,S,688551.SH,"20875132397000119	","2351829605736708096	","2351829605736708096	","93023626	",454,"Limit	",62.17,62.17,454,0,"Filled	",0.0,-28225.18,30.446502,1,,,,
2023-06-09,yytz_888867600047,S,600351.SH,"20875132397000065	","2351898256493967360	","2351898256493967360	","93024626	",2100,"Limit	",6.75,6.75,2100,0,"Filled	",0.0,-14175.0,15.290573,1,,,,
2023-06-09,yytz_888867600047,S,688519.SH,"20875132397000117	","2351898393932920832	","2351898393932920832	","93024627	",408,"Limit	",23.27,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,601003.SH,"20875132397000073	","2352035764166916097	","2352035764166916097	","93026626	",1000,"Limit	",4.14,4.14,1000,0,"Filled	",0.0,-4140.0,4.465818,1,,,,
2023-06-09,yytz_888867600047,S,000042.SZ,"20875132397000001	","2352241372841310208	","2352241372841310208	","93029619	",3200,"Limit	",7.91,7.92,3200,0,"Filled	",0.0,-25344.0,27.338573,1,,,,
2023-06-09,yytz_888867600047,S,688029.SH,"20875132397000106	","2352241922597124096	","2352241922597124096	","93029626	",380,"Limit	",81.53,81.53,380,0,"Filled	",0.0,-30981.4,33.419636,1,,,,
2023-06-09,yytz_888867600047,S,000538.SZ,"20875132397000008	","2352378880514258946	","2352378880514258946	","93031620	",1000,"Limit	",52.48,52.48,1000,0,"Filled	",0.0,-52480.0,56.610176,1,,,,
2023-06-09,yytz_888867600047,S,688253.SH,"20875132397000112	","2352379292831119361	","2352379292831119361	","93031625	",206,"Limit	",23.92,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,300051.SZ,"20875132397000044	","2352447599990994944	","2352447599990994944	","93032619	",600,"Limit	",10.87,10.88,600,0,"Filled	",0.0,-6528.0,7.041754,1,,,,
2023-06-09,yytz_888867600047,S,002763.SZ,"20875132397000036	","2352447737429948416	","2352447737429948416	","93032621	",1800,"Limit	",8.29,8.29,1800,0,"Filled	",0.0,-14922.0,16.096361,1,,,,
2023-06-09,yytz_888867600047,S,688718.SH,"20875132397000123	","2352448012307855360	","2352448012307855360	","93032625	",574,"Limit	",16.69,16.7196,574,0,"Filled	",0.0,-9597.0504,10.352338,1,,,,
2023-06-09,yytz_888867600047,S,603466.SH,"20875132397000091	","2352516663065114627	","2352516663065114627	","93033624	",2300,"Limit	",15.32,15.32,2300,0,"Filled	",0.0,-35236.0,38.009073,1,,,,
2023-06-09,yytz_888867600047,S,002238.SZ,"20875132397000020	","2352584970224990208	","2352584970224990208	","93034618	",2000,"Limit	",7.4,7.4,2000,0,"Filled	",0.0,-14800.0,15.96476,1,,,,
2023-06-09,yytz_888867600047,S,300760.SZ,"20875132397000050	","2352585107663943680	","2352585107663943680	","93034620	",100,"Limit	",295.2,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,002605.SZ,"20875132397000029	","2352585176383420417	","2352585176383420417	","93034621	",300,"Limit	",40.07,40.07,300,0,"Filled	",0.0,-12021.0,12.967053,1,,,,
2023-06-09,yytz_888867600047,S,301087.SZ,"20875132397000055	","2352585382541850625	","2352585382541850625	","93034624	",500,"Limit	",48.01,48.01,500,0,"Filled	",0.0,-24005.0,25.894194,1,,,,
2023-06-09,yytz_888867600047,S,002739.SZ,"20875132397000034	","2352653827140679680	","2352653827140679680	","93035620	",1300,"Limit	",12.23,12.23,1300,0,"Filled	",0.0,-15899.0,17.150251,1,,,,
2023-06-09,yytz_888867600047,S,002763.SZ,"20875132397000036	","2352653895860156417	","2352653895860156417	","93035621	",1000,"Limit	",8.28,8.29,1000,0,"Filled	",0.0,-8290.0,8.942423,1,,,,
2023-06-09,yytz_888867600047,S,688689.SH,"20875132397000122	","2352654170738063360	","2352654170738063360	","93035625	",886,"Limit	",25.1,25.1113,886,0,"Filled	",0.0,-22248.6118,23.999578,1,,,,
2023-06-09,yytz_888867600047,S,002402.SZ,"20875132397000024	","2352791128655198208	","2352791128655198208	","93037619	",1600,"Limit	",15.65,15.65,1000,0,"Canceled	",0.0,-15650.0,16.881655,1,,,,
2023-06-09,yytz_888867600047,S,300938.SZ,"20875132397000052	","2352791197374674944	","2352791197374674944	","93037619	",400,"Limit	",39.37,39.37,400,0,"Filled	",0.0,-15748.0,16.987368,1,,,,
2023-06-09,yytz_888867600047,S,601519.SH,"20875132397000079	","2352791609691535360	","2352791609691535360	","93037625	",3600,"Limit	",7.29,7.29,3600,0,"Filled	",0.0,-26244.0,28.309403,1,,,,
2023-06-09,yytz_888867600047,S,300051.SZ,"20875132397000044	","2352859848131934208	","2352859848131934208	","93038619	",1600,"Limit	",10.85,10.85,700,0,"Canceled	",0.0,-7595.0,8.192726,1,,,,
2023-06-09,yytz_888867600047,S,600728.SH,"20875132397000068	","2352860329168271360	","2352860329168271360	","93038625	",3200,"Limit	",7.36,7.36,3200,0,"Filled	",0.0,-23552.0,25.405542,1,,,,
2023-06-09,yytz_888867600047,B,688133.SH,"20875132397000108	","2352860397887748096	","2352860397887748096	","93038626	",405,"Limit	",100.99,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,002745.SZ,"20875132397000035	","2352997561963313152	","2352997561963313152	","93040622	",2600,"Limit	",8.88,8.88,1700,0,"Canceled	",0.0,-15096.0,16.284055,1,,,,
2023-06-09,yytz_888867600047,S,688223.SH,"20875132397000111	","2352997630682789888	","2352997630682789888	","93040624	",3740,"Limit	",11.7,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,688588.SH,"20875132397000120	","2353135207075215360	","2353135207075215360	","93042626	",697,"Limit	",16.05,16.05,697,0,"Filled	",0.0,-11186.85,12.067255,1,,,,
2023-06-09,yytz_888867600047,S,688519.SH,"20875132397000117	","2353135207075215361	","2353135207075215361	","93042626	",943,"Limit	",23.23,23.23,943,0,"Filled	",0.0,-21905.89,23.629884,1,,,,
2023-06-09,yytz_888867600047,S,603289.SH,"20875132397000089	","2353203926551951361	","2353203926551951361	","93043625	",300,"Limit	",9.66,9.66,300,0,"Filled	",0.0,-2898.0,3.126073,1,,,,
2023-06-09,yytz_888867600047,S,688261.SH,"20875132397000113	","2353547523935631360	","2353547523935631360	","93048626	",347,"Limit	",163.58,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,688299.SH,"20875132397000114	","2353891052599834624	","2353891052599834624	","93053624	",1038,"Limit	",15.22,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,002664.SZ,"20875132397000031	","2354371745339602944	","2354371745339602944	","93100619	",2000,"Limit	",13.6,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
