accountS,symbol,security_type,order_type,strategy_alias,note
-1,-1,-1,-1,103,Defult
-1,300976.SZ,-1,101|102,105,
-1,301159.SZ,-1,101|102,105,
-1,301207.SZ,-1,101|102,105,
-1,301282.SZ,-1,101|102,105,
-1,301286.SZ,-1,101|102,105,
-1,000166.SZ,-1,101|102,105,
-1,000099.SZ,-1,101|102,105,
-1,000553.SZ,-1,101|102,105,
-1,000638.SZ,-1,101|102,105,
-1,000100.SZ,-1,101|102,105,
-1,000680.SZ,-1,101|102,105,
-1,000729.SZ,-1,101|102,105,
-1,000836.SZ,-1,101|102,105,
-1,000930.SZ,-1,101|102,105,
-1,000950.SZ,-1,101|102,105,
-1,001260.SZ,-1,101|102,105,
-1,001211.SZ,-1,101|102,105,
-1,000985.SZ,-1,101|102,105,
-1,002076.SZ,-1,101|102,105,
-1,002011.SZ,-1,101|102,105,
-1,002100.SZ,-1,101|102,105,
-1,001696.SZ,-1,101|102,105,
-1,002093.SZ,-1,101|102,105,
-1,002180.SZ,-1,101|102,105,
-1,002181.SZ,-1,101|102,105,
-1,002226.SZ,-1,101|102,105,
-1,002273.SZ,-1,101|102,105,
-1,002362.SZ,-1,101|102,105,
-1,002366.SZ,-1,101|102,105,
-1,002443.SZ,-1,101|102,105,
-1,002438.SZ,-1,101|102,105,
-1,002553.SZ,-1,101|102,105,
-1,002520.SZ,-1,101|102,105,
-1,002647.SZ,-1,101|102,105,
-1,002530.SZ,-1,101|102,105,
-1,002606.SZ,-1,101|102,105,
-1,002693.SZ,-1,101|102,105,
-1,002787.SZ,-1,101|102,105,
-1,002705.SZ,-1,101|102,105,
-1,002805.SZ,-1,101|102,105,
-1,002910.SZ,-1,101|102,105,
-1,002948.SZ,-1,101|102,105,
-1,002999.SZ,-1,101|102,105,
-1,300007.SZ,-1,101|102,105,
-1,003039.SZ,-1,101|102,105,
-1,300111.SZ,-1,101|102,105,
-1,300002.SZ,-1,101|102,105,
-1,300161.SZ,-1,101|102,105,
-1,300241.SZ,-1,101|102,105,
-1,300315.SZ,-1,101|102,105,
-1,300208.SZ,-1,101|102,105,
-1,300416.SZ,-1,101|102,105,
-1,300498.SZ,-1,101|102,105,
-1,300261.SZ,-1,101|102,105,
-1,300432.SZ,-1,101|102,105,
-1,300283.SZ,-1,101|102,105,
-1,300411.SZ,-1,101|102,105,
-1,300588.SZ,-1,101|102,105,
-1,300530.SZ,-1,101|102,105,
-1,300628.SZ,-1,101|102,105,
-1,300715.SZ,-1,101|102,105,
