Date,ClientName,Side,Symbol,OrdType,TaskQty,ClOrdID,StartTime,EndTime,CancelFlag,OrderCount,CancelledCount,FilledQty,AvgPx,Status,TWAP,VWAP,BasketID,Fee,OtherFee,CumVolPercentage(%),Pnl,CumQtyBuy,CumQtySell,AvgPxBuy,AvgPxSell,EodPrice
2022-06-14,ruiding2,S,600176.SH,"TWAP_Plus	",100,"20838447141000056	","130544000	","131544000	",2,1,0,100,16.45,0,16.454267,16.455376,,-0.24675,-1.790912,0.0097,null,null,null,null,null,null
2022-06-14,ruizeng8,S,000625.SZ,"TWAP_Plus	",200,"20838447141000057	","130544000	","131544000	",0,0,0,0,0.0,0,17.6187,17.652097,,0.0,0.0,0.0000,null,null,null,null,null,null
2022-06-14,ruizeng8,S,601669.SH,"TWAP_Plus	",100,"20838447141000058	","130544000	","131544000	",2,1,0,100,7.75,0,7.7541,7.756004,,-0.11625,-0.843743,0.0032,null,null,null,null,null,null
2022-06-14,ruizeng8,B,002145.SZ,"TWAP_Plus	",100,"20838447141000059	","130544000	","131544000	",2,1,0,100,7.34,0,7.3362,7.332952,,-0.1101,-0.065106,0.0060,null,null,null,null,null,null
2022-06-14,ruizeng8,S,600094.SH,"TWAP_Plus	",100,"20838447141000060	","130544000	","131544000	",2,1,0,100,3.62,0,3.621967,3.628563,,-0.0543,-0.394109,0.0120,null,null,null,null,null,null
2022-06-14,ruiding2,B,600075.SH,"TWAP_Plus	",100,"20838447141000061	","130544000	","131544000	",2,1,0,100,6.84,0,6.840275,6.840611,,-0.1026,-0.060671,0.0153,null,null,null,null,null,null
2022-06-14,ruiding2,B,603806.SH,"TWAP_Plus	",100,"20838447141000062	","130544000	","131544000	",2,1,0,100,70.33,0,70.28199,70.228037,,-1.05495,-0.623827,0.0163,null,null,null,null,null,null
2022-06-14,ruiding2,S,601800.SH,"TWAP_Plus	",100,"20838447141000063	","130544000	","131544000	",2,1,0,100,8.89,0,8.890167,8.884914,,-0.13335,-0.967854,0.0058,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002216.SZ,"TWAP_Plus	",100,"20838447147000049	","130550000	","131550000	",2,2,1,100,18.76,0,18.7894,18.826942,,-0.2814,-2.042401,0.0390,null,null,null,null,null,null
2022-06-14,ruizeng8,S,002216.SZ,"TWAP_Plus	",100,"20838447147000050	","130550000	","131550000	",2,2,1,100,18.76,0,18.7894,18.826942,,-0.2814,-2.042401,0.0390,null,null,null,null,null,null
2022-06-14,ruizeng8,S,002276.SZ,"TWAP_Plus	",200,"20838447148000038	","130550000	","131550000	",2,1,0,200,7.75,0,7.717575,7.72741,,-0.2325,-1.687485,0.0095,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002276.SZ,"TWAP_Plus	",600,"20838447148000040	","130550000	","131550000	",2,1,0,600,7.75,0,7.717575,7.72741,,-0.6975,-5.062455,0.0286,null,null,null,null,null,null
