交易日期,账户名称,资金账号,证券代码,证券名称,证券类别,交易市场,交易方向,母单编号,篮子编号,算法类型,算法实例,母单状态,任务数量,成交数量,成交金额,成交均价,交易费用,其他费用,开始时间,结束时间,子单委托笔数,子单撤单笔数,时段市场交易量占比(%),状态标识,TWAP价格,VWAP价格,基准绩效(BPS),基准绩效(元)
20230601	,jltest2	,202305181001	,000517.SZ	,荣安地产,股票,深交所,买入,6880527336830005500	,202360192252882230	,VWAP	,kf_vwap_plus	,全部成交,16800,16800,48951.00,2.914,0.00,3.85,09:30:00	,10:30:00	,41,8,0.18105594,正常,2.9182833333,2.9144981624,2.57,12.57
20230601	,jltest2	,202305181001	,000557.SZ	,西部创业,股票,深交所,买入,6880527336830005700	,202360192252882331	,VWAP	,kf_vwap_plus	,全部成交,8900,8900,49395.00,5.550,0.00,3.89,09:30:00	,10:30:00	,3,0,0.49694629,正常,5.5539875000,5.5447899368,-9.39,-46.37
20230601	,jltest2	,202305181001	,000791.SZ	,甘肃能源,股票,深交所,买入,6880527336830005900	,202360192252882432	,VWAP	,kf_vwap_plus	,全部成交,6500,6500,34436.00,5.298,0.00,2.71,09:30:00	,10:30:00	,3,0,0.11474935,正常,5.2972518765,5.2942485859,-6.79,-23.38
20230601	,jltest2	,202305181001	,002435.SZ	,长江健康,股票,深交所,买入,6880527336830006100	,202360192252882634	,VWAP	,kf_vwap_plus	,全部成交,2900,2900,13658.00,4.710,0.00,1.07,09:30:00	,10:30:00	,12,0,0.12990503,正常,4.6965375000,4.6934281490,-34.45,-47.06
20230601	,jltest2	,202305181001	,002461.SZ	,珠江啤酒,股票,深交所,买入,6880527336830006300	,202360192252882635	,VWAP	,kf_vwap_plus	,全部成交,3100,3100,27116.00,8.747,0.00,2.13,09:30:00	,10:30:00	,4,0,0.06659440,正常,8.7527541666,8.7740239301,30.78,83.47
20230601	,jltest2	,202305181001	,002293.SZ	,罗莱生活,股票,深交所,买入,6880527336830006500	,202360192252882533	,VWAP	,kf_vwap_plus	,全部成交,500,500,5680.00,11.360,0.00,0.45,09:30:00	,10:30:00	,1,0,0.04530627,正常,11.4152208333,11.4165947807,49.82,28.30
20230601	,jltest2	,202305181001	,002695.SZ	,煌上煌,股票,深交所,买入,6880527336830006700	,202360192252882837	,VWAP	,kf_vwap_plus	,全部成交,2600,2600,28026.00,10.779,0.00,2.21,09:30:00	,10:30:00	,5,2,0.24681982,正常,10.7859333333,10.7915900892,11.47,32.13
20230601	,jltest2	,202305181001	,002645.SZ	,华宏科技,股票,深交所,买入,6880527336830006900	,202360192252882736	,VWAP	,kf_vwap_plus	,全部成交,700,700,8227.00,11.753,0.00,0.65,09:30:00	,10:30:00	,2,0,0.04738053,正常,11.7951833333,11.7904582374,31.99,26.32
20230601	,jltest2	,202305181001	,002950.SZ	,奥美医疗,股票,深交所,买入,6880527336830007100	,202360192252882838	,VWAP	,kf_vwap_plus	,全部成交,3200,3200,34924.00,10.914,0.00,2.75,09:30:00	,10:30:00	,4,1,0.32613127,正常,10.9196994991,10.9116214838,-1.95,-6.81
20230601	,jltest2	,202305181001	,300191.SZ	,潜能恒信,股票,深交所,买入,6880527336830007300	,202360192252882939	,VWAP	,kf_vwap_plus	,全部成交,400,400,7020.00,17.550,0.00,0.55,09:30:00	,10:30:00	,1,0,0.11065007,正常,17.6576021684,17.6509100968,57.50,40.36
20230601	,jltest2	,202305181001	,300326.SZ	,凯利泰,股票,深交所,买入,6880527336830007500	,202360192252883040	,VWAP	,kf_vwap_plus	,全部成交,7100,7100,48762.00,6.868,0.00,3.84,09:30:00	,10:30:00	,4,0,0.35640781,正常,6.8844240400,6.8650645047,-4.11,-20.04
20230601	,jltest2	,202305181001	,300457.SZ	,赢合科技,股票,深交所,买入,6880527336830007700	,202360192252883141	,VWAP	,kf_vwap_plus	,全部成交,2800,2800,49027.00,17.510,0.00,3.86,09:30:00	,10:30:00	,6,1,0.12191246,正常,17.4991110183,17.5047889825,-2.77,-13.59
20230601	,jltest2	,202305181001	,300477.SZ	,合纵科技,股票,深交所,买入,6880527336830007900	,202360192252883242	,VWAP	,kf_vwap_plus	,全部成交,5200,5200,23853.00,4.587,0.00,1.88,09:30:00	,10:30:00	,8,0,0.15911386,正常,4.5891736227,4.5896943177,5.62,13.41
20230601	,jltest2	,202305181001	,300737.SZ	,科顺股份,股票,深交所,买入,6880527336830008100	,202360192252883343	,VWAP	,kf_vwap_plus	,全部成交,5200,5200,48428.00,9.313,0.00,3.81,09:30:00	,10:30:00	,5,0,0.18701679,正常,9.3269349457,9.3111952207,-2.02,-9.78
20230601	,jltest2	,202305181001	,600366.SH	,宁波韵升,股票,上交所,买入,6880527336830008300	,202360192252883444	,VWAP	,kf_vwap_plus	,全部成交,6300,6300,49169.00,7.805,0.00,3.87,09:30:00	,10:30:00	,4,0,0.22468704,正常,7.8016000000,7.7821477228,-28.77,-141.47
20230601	,jltest2	,202305181001	,600456.SH	,宝钛股份,股票,上交所,买入,6880527336830008500	,202360192252883545	,VWAP	,kf_vwap_plus	,全部成交,1500,1500,49093.00,32.729,0.00,3.86,09:30:00	,10:30:00	,6,3,0.14687163,正常,32.7129482902,32.6980338783,-9.36,-45.95
20230601	,jltest2	,202305181001	,600577.SH	,精达股份,股票,上交所,买入,6880527336830008700	,202360192252883546	,VWAP	,kf_vwap_plus	,全部成交,11700,11700,49188.00,4.204,0.00,3.87,09:30:00	,10:30:00	,11,4,0.26268340,正常,4.2049875000,4.2036678684,-1.03,-5.09
20230601	,jltest2	,202305181001	,600696.SH	,岩石股份,股票,上交所,买入,6880527336830008900	,202360192252883647	,VWAP	,kf_vwap_plus	,全部成交,700,700,17949.00,25.641,0.00,1.41,09:30:00	,10:30:00	,8,5,0.03669850,正常,25.8616458333,26.1411707345,194.90,349.82
20230601	,jltest2	,202305181001	,601963.SH	,重庆银行,股票,上交所,买入,6880527336830009100	,202360192252883748	,VWAP	,kf_vwap_plus	,全部成交,1100,1100,9149.00,8.317,0.00,0.72,09:30:00	,10:30:00	,2,0,0.09032941,正常,8.3008115619,8.2984451022,-22.64,-20.71
20230601	,jltest2	,202305181001	,603098.SH	,森特股份,股票,上交所,买入,6880527336830009300	,202360192252883849	,VWAP	,kf_vwap_plus	,全部成交,500,500,10249.00,20.498,0.00,0.81,09:30:00	,10:30:00	,3,1,0.13653741,正常,20.4507035803,20.4397296559,-28.43,-29.14
20230601	,jltest2	,202305181001	,603113.SH	,金能科技,股票,上交所,买入,6880527336830009500	,202360192252883850	,VWAP	,kf_vwap_plus	,全部成交,4300,4300,35839.00,8.335,0.00,2.82,09:30:00	,10:30:00	,2,0,0.43025815,正常,8.3439333333,8.3400910546,6.53,23.39
20230601	,jltest2	,202305181001	,603337.SH	,杰克股份,股票,上交所,买入,6880527336830009700	,202360192252883951	,VWAP	,kf_vwap_plus	,全部成交,700,700,13206.00,18.866,0.00,1.04,09:30:00	,10:30:00	,2,0,0.39215686,正常,18.9282612312,18.9255798319,31.73,41.91
20230601	,jltest2	,202305181001	,603612.SH	,索通发展,股票,上交所,买入,6880527336830009900	,202360192252884252	,VWAP	,kf_vwap_plus	,全部成交,2700,2700,49834.00,18.457,0.00,3.92,09:30:00	,10:30:00	,8,3,0.14386243,正常,18.4888347222,18.4659219210,4.81,23.99
20230601	,jltest2	,202305181001	,603916.SH	,苏博特,股票,上交所,买入,6880527336830010100	,202360192252884455	,VWAP	,kf_vwap_plus	,全部成交,900,900,11976.00,13.307,0.00,0.94,09:30:00	,10:30:00	,2,0,0.09849952,正常,13.3649972222,13.3308522397,18.18,21.77
20230601	,jltest2	,202305181001	,603718.SH	,海利生物,股票,上交所,买入,6880527336830010300	,202360192252884353	,VWAP	,kf_vwap_plus	,全部成交,3300,3300,33103.00,10.031,0.00,2.60,09:30:00	,10:30:00	,4,0,0.35857872,正常,10.0343500000,10.0207921330,-10.39,-34.39
20230601	,jltest2	,202305181001	,603733.SH	,仙鹤股份,股票,上交所,买入,6880527336830010500	,202360192252884354	,VWAP	,kf_vwap_plus	,全部成交,400,400,8886.00,22.215,0.00,0.70,09:30:00	,10:30:00	,4,2,0.04212366,正常,22.2109708333,22.1010030697,-51.32,-45.60
20230601	,jltest2	,202305181001	,603960.SH	,克来机电,股票,上交所,买入,6880527336830010700	,202360192252884556	,VWAP	,kf_vwap_plus	,全部成交,800,800,14030.00,17.538,0.00,1.10,09:30:00	,10:30:00	,2,0,0.08808632,正常,17.5848666666,17.5725269764,19.97,28.02
20230601	,jltest1	,202304181002	,000582.SZ	,北部湾港,股票,深交所,卖出,6880527337660000100	,20236019236120913	,VWAP	,kf_vwap_plus	,全部成交,92800,92800,740731.00,7.982,0.00,799.03,09:30:00	,10:30:00	,8,0,2.58950102,正常,7.9875541666,7.9840628489,-2.57,-190.03
20230601	,jltest1	,202304181002	,000652.SZ	,泰达股份,股票,深交所,卖出,6880527337660000300	,20236019236120924	,VWAP	,kf_vwap_plus	,全部成交,57900,57900,237469.00,4.101,0.00,256.16,09:30:00	,10:30:00	,26,6,2.55798542,正常,4.1014041666,4.1011698696,0.47,11.26
20230601	,jltest1	,202304181002	,000881.SZ	,中广核技,股票,深交所,卖出,6880527337660000500	,20236019236120935	,VWAP	,kf_vwap_plus	,全部成交,24800,24800,195984.00,7.903,0.00,211.41,09:30:00	,10:30:00	,6,0,2.80976529,正常,7.9013125000,7.8993401583,4.10,80.36
20230601	,jltest1	,202304181002	,000935.SZ	,四川双马,股票,深交所,卖出,6880527337660000700	,20236019236120946	,VWAP	,kf_vwap_plus	,全部成交,18800,18800,317796.00,16.904,0.00,342.81,09:30:00	,10:30:00	,11,4,1.73607905,正常,16.8939583333,16.8713057530,19.37,615.45
20230601	,jltest1	,202304181002	,000088.SZ	,盐田港,股票,深交所,卖出,6880527337660000900	,20236019236120912	,VWAP	,kf_vwap_plus	,全部成交,113600,113600,560024.00,4.930,0.00,604.09,09:30:00	,10:30:00	,83,12,6.15377948,正常,4.9309416666,4.9307634803,-1.98,-110.73
20230601	,jltest1	,202304181002	,000968.SZ	,蓝焰控股,股票,深交所,卖出,6880527337660001100	,20236019236120947	,VWAP	,kf_vwap_plus	,全部成交,22500,22500,174454.00,7.754,0.00,188.18,09:30:00	,10:30:00	,8,0,2.57466529,正常,7.7470500000,7.7356242132,23.07,402.46
20230601	,jltest1	,202304181002	,002023.SZ	,海特高新,股票,深交所,卖出,6880527337660001300	,20236019236120958	,VWAP	,kf_vwap_plus	,全部成交,4500,4500,39115.00,8.692,0.00,42.19,09:30:00	,10:30:00	,4,0,0.27204469,正常,8.6842124999,8.6631524538,33.44,130.81
20230601	,jltest1	,202304181002	,002267.SZ	,陕天然气,股票,深交所,卖出,6880527337660001500	,202360192361209811	,VWAP	,kf_vwap_plus	,全部成交,92200,92200,718970.00,7.798,0.00,775.55,09:30:00	,10:30:00	,8,0,5.06703378,正常,7.8005958333,7.7973906424,0.70,50.58
20230601	,jltest1	,202304181002	,002285.SZ	,世联行,股票,深交所,卖出,6880527337660001700	,202360192361209812	,VWAP	,kf_vwap_plus	,全部成交,45600,45600,114417.00,2.509,0.00,123.42,09:30:00	,10:30:00	,12,2,0.71229299,正常,2.5043416666,2.5057801951,13.41,153.42
20230601	,jltest1	,202304181002	,002239.SZ	,奥特佳,股票,深交所,卖出,6880527337660001900	,202360192361209710	,VWAP	,kf_vwap_plus	,全部成交,119900,119900,301737.00,2.517,0.00,325.48,09:30:00	,10:30:00	,22,5,2.03558073,正常,2.5193374999,2.5158655606,2.81,84.72
20230601	,jltest1	,202304181002	,002042.SZ	,华孚时尚,股票,深交所,卖出,6880527337660002100	,20236019236120969	,VWAP	,kf_vwap_plus	,全部成交,60800,60800,192497.00,3.166,0.00,207.65,09:30:00	,10:30:00	,14,5,1.14384618,正常,3.1656749999,3.1614241637,14.67,282.41
20230601	,jltest1	,202304181002	,002344.SZ	,海宁皮城,股票,深交所,卖出,6880527337660002300	,202360192361209913	,VWAP	,kf_vwap_plus	,全部成交,58900,58900,298087.00,5.061,0.00,321.55,09:30:00	,10:30:00	,7,0,0.95878370,正常,5.0538458333,5.0553309350,11.00,328.01
20230601	,jltest1	,202304181002	,002911.SZ	,佛燃能源,股票,深交所,卖出,6880527337660002500	,202360192361210114	,VWAP	,kf_vwap_plus	,全部成交,22500,22500,279729.00,12.432,0.00,301.74,09:30:00	,10:30:00	,9,2,2.47415062,正常,12.4268447412,12.4255363133,5.52,154.43
20230601	,jltest1	,202304181002	,002961.SZ	,瑞达期货,股票,深交所,卖出,6880527337660002700	,202360192361210215	,VWAP	,kf_vwap_plus	,全部成交,20200,20200,293149.00,14.512,0.00,316.22,09:30:00	,10:30:00	,6,0,4.41769528,正常,14.5238791666,14.5187752049,-4.44,-130.26
20230601	,jltest1	,202304181002	,300318.SZ	,博晖创新,股票,深交所,卖出,6880527337660002900	,202360192361210316	,VWAP	,kf_vwap_plus	,全部成交,58100,58100,339013.00,5.835,0.00,365.69,09:30:00	,10:30:00	,8,0,2.27584316,正常,5.8350834724,5.8284178777,11.27,381.92
20230601	,jltest1	,202304181002	,600400.SH	,红豆股份,股票,上交所,卖出,6880527337660003100	,202360192361210518	,VWAP	,kf_vwap_plus	,全部成交,73700,73700,235618.00,3.197,0.00,254.16,09:30:00	,10:30:00	,35,2,2.46808485,正常,3.1972291666,3.1947349085,7.05,166.04
20230601	,jltest1	,202304181002	,600120.SH	,浙江东方,股票,上交所,卖出,6880527337660003300	,202360192361210417	,VWAP	,kf_vwap_plus	,全部成交,220500,220500,862879.00,3.913,0.00,930.78,09:30:00	,10:30:00	,59,0,5.75385854,正常,3.9163188647,3.9178466425,-11.66,-1006.18
20230601	,jltest1	,202304181002	,600403.SH	,大有能源,股票,上交所,卖出,6880527337660003500	,202360192361210519	,VWAP	,kf_vwap_plus	,全部成交,70900,70900,293691.00,4.142,0.00,316.80,09:30:00	,10:30:00	,37,8,3.21017839,正常,4.1457833333,4.1406732771,3.99,117.26
20230601	,jltest1	,202304181002	,600621.SH	,华鑫股份,股票,上交所,卖出,6880527337660003700	,202360192361210721	,VWAP	,kf_vwap_plus	,全部成交,55100,55100,598391.00,10.860,0.00,645.48,09:30:00	,10:30:00	,10,1,1.88827511,正常,10.8504625000,10.8398266350,18.66,1116.55
20230601	,jltest1	,202304181002	,600578.SH	,京能电力,股票,上交所,卖出,6880527337660003900	,202360192361210620	,VWAP	,kf_vwap_plus	,全部成交,53400,53400,199237.00,3.731,0.00,214.92,09:30:00	,10:30:00	,16,6,0.41882681,正常,3.7297539616,3.7387871277,-20.79,-414.23
20230601	,jltest1	,202304181002	,600675.SH	,中华企业,股票,上交所,卖出,6880527337660004100	,202360192361210822	,VWAP	,kf_vwap_plus	,全部成交,102400,102400,283210.00,2.766,0.00,305.50,09:30:00	,10:30:00	,30,8,1.35088784,正常,2.7575333333,2.7679359383,-8.00,-226.64
20230601	,jltest1	,202304181002	,600691.SH	,阳煤化工,股票,上交所,卖出,6880527337660004300	,202360192361210924	,VWAP	,kf_vwap_plus	,全部成交,19100,19100,58728.00,3.075,0.00,63.35,09:30:00	,10:30:00	,11,2,0.88389097,正常,3.0760708333,3.0702887685,14.56,85.48
20230601	,jltest1	,202304181002	,600688.SH	,上海石化,股票,上交所,卖出,6880527337660004500	,202360192361210823	,VWAP	,kf_vwap_plus	,全部成交,151000,151000,475528.00,3.149,0.00,512.95,09:30:00	,10:30:00	,68,41,3.70697424,正常,3.1503541666,3.1488389437,1.12,53.32
20230601	,jltest1	,202304181002	,600821.SH	,金开新能,股票,上交所,卖出,6880527337660004700	,202360192361211025	,VWAP	,kf_vwap_plus	,全部成交,23600,23600,160714.00,6.810,0.00,173.36,09:30:00	,10:30:00	,5,0,0.29842499,正常,6.8058041666,6.8025583620,10.80,173.62
20230601	,jltest1	,202304181002	,600997.SH	,开滦股份,股票,上交所,卖出,6880527337660004900	,202360192361211126	,VWAP	,kf_vwap_plus	,全部成交,58500,58500,344907.00,5.896,0.00,372.05,09:30:00	,10:30:00	,7,0,2.06388883,正常,5.8936261448,5.8896514497,10.51,362.39
