算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
1030835234546000001,20838434515000078,2022-06-14,1,ruiding2,1,103,多策略,002807,1,1,4.27,100,2022-06-1493546132,4.27,100,2022-06-1493546132,0,0.037875
1030835234546000002,20838434515000082,2022-06-14,1,ruizeng8,1,103,多策略,002807,1,1,4.27,100,2022-06-1493546132,4.27,100,2022-06-1493546132,0,0.037875
1030835234551000007,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.28,4400,2022-06-1493551148,4.28,4400,2022-06-1493551148,0,1.670398
1030835234552000002,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.27,100,2022-06-1493552147,0.0,0,2022-06-1493552147,0,0.0
1030835234552000003,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.27,100,2022-06-1493552147,0.0,0,2022-06-1493552147,0,0.0
1030835234552000004,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.27,100,2022-06-1493552147,0.0,0,2022-06-1493552147,0,0.0
1030835234554000002,20838434515000073,2022-06-14,2,ruiyan1,1,103,多策略,600536,1,1,39.75,100,2022-06-1493554144,39.75,100,2022-06-1493554144,0,0.352583
1030835234554000003,20838434515000076,2022-06-14,2,ruifeng6,1,103,多策略,600536,1,1,39.75,300,2022-06-1493554144,39.75,300,2022-06-1493554144,0,1.057748
1030835234554000004,20838434515000079,2022-06-14,2,ruiding2,1,103,多策略,600536,1,1,39.75,100,2022-06-1493554145,39.75,100,2022-06-1493554145,0,0.352583
1030835234554000005,20838434515000083,2022-06-14,2,ruizeng8,1,103,多策略,600536,1,1,39.75,200,2022-06-1493554145,39.75,200,2022-06-1493554145,0,0.705165
1030835234555000012,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.28,1800,2022-06-1493555153,4.28,1800,2022-06-1493555153,0,0.683345
1030835234555000013,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.28,600,2022-06-1493555153,4.28,600,2022-06-1493555153,0,0.227782
