算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
6600532351060000100,6880532326820001800,20230606,1,1263062_5102_5102	,0,103,多策略,002763,1,2,8.83,100,2023060694506,8.83,100,2023060694506,4,0.88
6600532351210000000,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.77,700,2023060694521,0.0,0,2023060694521,5,0.0
6600532351400000200,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.54,645,2023060694540,0.0,0,2023060694540,5,0.0
6600532351410000700,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.55,583,2023060694541,0.0,0,2023060694541,5,0.0
6600532351470000100,6880532326820001100,20230606,1,1263062_5102_5102	,0,103,多策略,002238,1,2,7.53,1000,2023060694547,7.53,1000,2023060694547,4,7.53
6600532351480000500,6880532326820003300,20230606,2,1263062_5102_5102	,0,103,多策略,600822,1,2,9.97,700,2023060694548,9.97,700,2023060694548,4,0.0
6600532351550000300,6880532326820001400,20230606,1,1263062_5102_5102	,0,103,多策略,002588,1,2,6.28,200,2023060694555,6.28,200,2023060694555,4,1.26
6600532351580000200,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.8,700,2023060694558,0.0,0,2023060694558,5,0.0
6600532351740000400,6880532326820001500,20230606,1,1263062_5102_5102	,0,103,多策略,002641,1,2,5.47,1700,2023060694614,5.47,1700,2023060694614,4,9.3
6600532352070000200,6880532326820000300,20230606,1,1263062_5102_5102	,0,103,多策略,000528,1,1,7.37,3400,2023060694647,7.37,3400,2023060694647,4,0.0
6600532352080000500,6880532326820003100,20230606,2,1263062_5102_5102	,0,103,多策略,600603,1,2,6.84,4000,2023060694648,6.84,4000,2023060694648,4,0.0
6600532352160000500,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.58,1228,2023060694656,22.58,1228,2023060694656,4,0.0
6600532352230000200,6880532326820002100,20230606,1,1263062_5102_5102	,0,103,多策略,002905,1,2,9.99,200,2023060694703,9.99,200,2023060694703,4,2.0
6600532352370001400,6880532326820004300,20230606,2,1263062_5102_5102	,0,103,多策略,603639,1,2,18.92,1100,2023060694717,18.92,1100,2023060694717,4,0.0
6600532352430001300,6880532326820004500,20230606,2,1263062_5102_5102	,0,103,多策略,605266,1,1,80.83,200,2023060694723,80.83,200,2023060694723,4,0.0
6600532352660001700,6880532326820003600,20230606,2,1263062_5102_5102	,0,103,多策略,601139,1,1,7.05,1600,2023060694746,7.05,1600,2023060694746,4,0.0
6600532352710000000,6880532326820000500,20230606,1,1263062_5102_5102	,0,103,多策略,000683,1,2,6.82,1900,2023060694751,6.82,1900,2023060694751,4,12.96
6600532352740000300,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.82,700,2023060694754,0.0,0,2023060694754,5,0.0
6600532352800000200,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.21,5400,2023060694800,0.0,0,2023060694800,5,0.0
6600532352800000300,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.41,4300,2023060694800,0.0,0,2023060694800,5,0.0
6600532352800000500,6880532326820001900,20230606,1,1263062_5102_5102	,0,103,多策略,002880,1,2,39.86,200,2023060694800,39.9,200,2023060694800,4,7.98
6600532352890000500,6880532326820004900,20230606,2,1263062_5102_5102	,0,103,多策略,688510,1,2,18.14,296,2023060694809,18.14,296,2023060694809,4,0.0
6600532353100000300,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,41.14,300,2023060694830,0.0,0,2023060694830,5,0.0
6600532353240000600,6880532326820000700,20230606,1,1263062_5102_5102	,0,103,多策略,002025,1,1,58.1,100,2023060694844,58.1,100,2023060694844,4,0.0
6600532353240000900,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,41.05,300,2023060694844,41.05,300,2023060694844,4,12.32
6600532353540001000,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.38,522,2023060694914,0.0,0,2023060694914,5,0.0
6600532353610000400,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.99,700,2023060694921,9.99,700,2023060694921,4,0.0
6600532353640000600,6880532326820001000,20230606,1,1263062_5102_5102	,0,103,多策略,002187,1,2,6.8,100,2023060694924,6.8,100,2023060694924,4,0.68
6600532353840001000,6880532326820001200,20230606,1,1263062_5102_5102	,0,103,多策略,002388,1,2,6.9,100,2023060694944,6.9,100,2023060694944,4,0.69
6600532354460001600,6880532326820003000,20230606,2,1263062_5102_5102	,0,103,多策略,600315,1,2,28.63,100,2023060695046,28.63,100,2023060695046,4,0.0
6600532354930000100,6880532326820004700,20230606,2,1263062_5102_5102	,0,103,多策略,688223,1,1,11.79,1001,2023060695133,11.79,1001,2023060695133,4,0.0
6600532354980000500,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.31,522,2023060695138,91.31,36,2023060695138,8,0.0
6600532355940000200,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,86.16,348,2023060695314,0.0,0,2023060695314,5,0.0
6600532356090000300,6880532326820000900,20230606,1,1263062_5102_5102	,0,103,多策略,002038,1,1,9.94,400,2023060695329,9.95,400,2023060695329,4,0.0
6600532356170000200,6880532326820003300,20230606,2,1263062_5102_5102	,0,103,多策略,600822,1,2,10.02,300,2023060695337,10.03,300,2023060695337,4,0.0
6600532356400000100,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.2,2700,2023060695400,0.0,0,2023060695400,5,0.0
6600532356400000200,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.41,2100,2023060695400,0.0,0,2023060695400,5,0.0
6600532356490000400,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,40.82,100,2023060695409,0.0,0,2023060695409,5,0.0
6600532356590000800,6880532326820003500,20230606,2,1263062_5102_5102	,0,103,多策略,600909,1,2,4.84,1100,2023060695419,4.84,1100,2023060695419,4,0.0
6600532357550000000,6880532326820003900,20230606,2,1263062_5102_5102	,0,103,多策略,601816,1,2,5.61,8200,2023060695555,5.61,8200,2023060695555,4,0.0
6600532358130000100,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.38,486,2023060695653,91.38,224,2023060695653,8,0.0
6600532358170000700,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.73,348,2023060695657,0.0,0,2023060695657,5,0.0
6600532358280000400,6880532326820002200,20230606,1,1263062_5102_5102	,0,103,多策略,002990,1,2,38.19,300,2023060695708,38.19,300,2023060695708,4,11.46
6600532358430000800,6880532326820004600,20230606,2,1263062_5102_5102	,0,103,多策略,688029,1,1,85.89,348,2023060695723,85.89,348,2023060695723,4,0.0
6600532358460001000,6880532326820001700,20230606,1,1263062_5102_5102	,0,103,多策略,002746,1,2,8.44,2100,2023060695726,8.45,2100,2023060695726,4,17.75
6600532358510000000,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.2,16200,2023060695731,0.0,0,2023060695731,5,0.0
6600532358670000400,6880532326820002700,20230606,1,1263062_5102_5102	,0,103,多策略,301029,1,2,40.95,100,2023060695747,40.95,100,2023060695747,4,4.1
6600532358690000200,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.48,833,2023060695749,0.0,0,2023060695749,5,0.0
6600532358700000600,6880532326820004800,20230606,2,1263062_5102_5102	,0,103,多策略,688357,1,1,91.38,262,2023060695750,91.38,262,2023060695750,4,0.0
6600532358820000700,6880532326820003100,20230606,2,1263062_5102_5102	,0,103,多策略,600603,1,2,6.86,1600,2023060695802,6.86,1600,2023060695802,4,0.0
6600532358830000000,6880532326820000600,20230606,1,1263062_5102_5102	,0,103,多策略,000750,1,1,3.42,10700,2023060695803,3.42,10700,2023060695803,4,0.0
6600532358840000700,6880532326820005300,20230606,2,1263062_5102_5102	,0,103,多策略,688718,1,2,16.79,202,2023060695804,16.79,202,2023060695804,4,0.0
6600532358870000300,6880532326820004300,20230606,2,1263062_5102_5102	,0,103,多策略,603639,1,2,18.91,200,2023060695807,18.91,200,2023060695807,4,0.0
6600532358890000200,6880532326820000200,20230606,1,1263062_5102_5102	,0,103,多策略,000415,1,2,2.19,18900,2023060695809,2.19,18900,2023060695809,4,41.39
6600532358920000900,6880532326820000500,20230606,1,1263062_5102_5102	,0,103,多策略,000683,1,2,6.82,1400,2023060695812,6.82,1400,2023060695812,4,9.55
6600532359030000200,6880532326820000300,20230606,1,1263062_5102_5102	,0,103,多策略,000528,1,1,7.41,500,2023060695823,7.41,500,2023060695823,4,0.0
6600532359270000400,6880532326820005000,20230606,2,1263062_5102_5102	,0,103,多策略,688526,1,1,22.54,833,2023060695847,22.54,833,2023060695847,4,0.0
