算法母单编号,交易日期,资金账户名称,算法类型,算法实例,算法供应商,任务数,证券代码,市场类别,买卖方向1,买卖方向2,开始时间,结束时间,下单时间
6880872434086000135,20230614,7027,0,103,多策略,22800,908,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000136,20230614,7027,0,103,多策略,21900,913,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000137,20230614,7027,0,103,多策略,600,915,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000138,20230614,7027,0,103,多策略,7600,917,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000139,20230614,7027,0,103,多策略,13300,920,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000140,20230614,7027,0,103,多策略,3400,921,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000141,20230614,7027,0,103,多策略,21800,923,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000142,20230614,7027,0,103,多策略,36600,926,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000143,20230614,7027,0,103,多策略,2500,928,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000144,20230614,7027,0,103,多策略,24500,931,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000145,20230614,7027,0,103,多策略,53900,932,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000146,20230614,7027,0,103,多策略,4700,933,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000147,20230614,7027,0,103,多策略,2300,935,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000148,20230614,7027,0,103,多策略,1400,937,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000149,20230614,7027,0,103,多策略,20500,948,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000150,20230614,7027,0,103,多策略,63100,950,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000151,20230614,7027,0,103,多策略,22200,953,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000152,20230614,7027,0,103,多策略,49700,958,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000153,20230614,7027,0,103,多策略,600,959,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000154,20230614,7027,0,103,多策略,74900,961,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000155,20230614,7027,0,103,多策略,1300,963,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000156,20230614,7027,0,103,多策略,54700,965,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000157,20230614,7027,0,103,多策略,800,967,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000158,20230614,7027,0,103,多策略,9500,973,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000159,20230614,7027,0,103,多策略,6200,977,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000160,20230614,7027,0,103,多策略,48600,980,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000161,20230614,7027,0,103,多策略,223200,982,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000162,20230614,7027,0,103,多策略,1100,987,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000163,20230614,7027,0,103,多策略,23200,989,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000164,20230614,7027,0,103,多策略,5500,997,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000165,20230614,7027,0,103,多策略,600,998,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000166,20230614,7027,0,103,多策略,200,1215,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000167,20230614,7027,0,103,多策略,3100,1218,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000168,20230614,7027,0,103,多策略,1000,1227,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000169,20230614,7027,0,103,多策略,38200,1267,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000170,20230614,7027,0,103,多策略,11300,1872,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000171,20230614,7027,0,103,多策略,27700,1914,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000172,20230614,7027,0,103,多策略,30700,1979,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000173,20230614,7027,0,103,多策略,4000,2002,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000174,20230614,7027,0,103,多策略,2100,2015,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000175,20230614,7027,0,103,多策略,700,2019,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000176,20230614,7027,0,103,多策略,1300,2020,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000177,20230614,7027,0,103,多策略,2800,2025,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000178,20230614,7027,0,103,多策略,15900,2027,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000179,20230614,7027,0,103,多策略,11300,2028,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000180,20230614,7027,0,103,多策略,5200,2032,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000181,20230614,7027,0,103,多策略,700,2033,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000182,20230614,7027,0,103,多策略,200,2036,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000183,20230614,7027,0,103,多策略,100,2038,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000184,20230614,7027,0,103,多策略,2700,2044,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000185,20230614,7027,0,103,多策略,4200,2045,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000186,20230614,7027,0,103,多策略,5200,2046,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000187,20230614,7027,0,103,多策略,100,2048,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000188,20230614,7027,0,103,多策略,2700,2049,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000189,20230614,7027,0,103,多策略,17500,2050,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000190,20230614,7027,0,103,多策略,23400,2051,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000191,20230614,7027,0,103,多策略,33500,2053,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000192,20230614,7027,0,103,多策略,27100,2056,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000193,20230614,7027,0,103,多策略,400,2060,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000194,20230614,7027,0,103,多策略,6200,2062,1,1,,20230614093000,20230614140000,20230614093000
