算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
6600527342670000100,6880527337660007900,20230601,1,202304181002,1,103,多策略,300477,1,1,4.57,3500,20230601093107,4.57,3500,20230601093107,4,1.26
6600527342680000000,6880527336830000300,20230601,1,202305181001,1,103,多策略,000652,1,2,4.09,400,20230601093108,4.1,400,20230601093108,4,1.77
6600527342680000100,6880527337660000300,20230601,1,202304181002,1,103,多策略,000652,1,2,4.09,1500,20230601093108,4.1,1500,20230601093108,4,6.63
6600527342680000200,6880527336830007900,20230601,1,202305181001,1,103,多策略,300477,1,1,4.57,400,20230601093108,4.57,400,20230601093108,4,0.14
6600527342680000300,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.91,1700,20230601093108,2.91,1700,20230601093108,4,0.39
6600527342680000400,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.92,100,20230601093108,4.92,100,20230601093108,4,0.53
6600527342680000500,6880527337660007900,20230601,1,202304181002,1,103,多策略,300477,1,1,4.57,2800,20230601093108,4.57,2800,20230601093108,4,1.01
6600527342680000600,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.91,200,20230601093108,2.91,200,20230601093108,4,0.05
6600527342680000700,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.92,800,20230601093108,4.92,800,20230601093108,4,4.25
6600527342690000000,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.9,100,20230601093109,3.9,100,20230601093109,4,0.42
6600527342690000100,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.9,200,20230601093109,3.9,200,20230601093109,4,0.84
6600527342710000000,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.91,400,20230601093111,2.91,400,20230601093111,4,0.09
6600527342710000100,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.91,3600,20230601093111,2.91,3600,20230601093111,4,0.82
6600527342740000000,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.9,800,20230601093114,2.9,800,20230601093114,4,0.18
6600527342740000100,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.9,7300,20230601093114,2.9,7300,20230601093114,4,1.67
6600527342740000200,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.92,800,20230601093114,4.92,800,20230601093114,4,4.25
6600527342740000300,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.92,100,20230601093114,4.92,100,20230601093114,4,0.53
6600527342750000000,6880527337660009700,20230601,2,202304181002,1,103,多策略,603718,1,1,10.03,1200,20230601093115,10.04,1200,20230601093115,4,0.95
6600527342750000100,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.9,100,20230601093115,3.9,100,20230601093115,4,0.42
6600527342750000200,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.9,100,20230601093115,3.9,100,20230601093115,4,0.42
6600527342770000000,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.9,800,20230601093117,2.9,800,20230601093117,4,0.18
6600527342770000100,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.9,100,20230601093117,2.9,100,20230601093117,4,0.02
6600527342770000200,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.93,100,20230601093117,4.93,100,20230601093117,4,0.53
6600527342770000300,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.93,100,20230601093117,4.93,100,20230601093117,4,0.53
6600527342770000400,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,1300,20230601093117,4.14,1300,20230601093117,4,5.81
6600527342790000000,6880527336830003900,20230601,2,202305181001,1,103,多策略,600675,1,2,2.81,600,20230601093119,2.81,600,20230601093119,4,1.82
6600527342790000100,6880527337660004100,20230601,2,202304181002,1,103,多策略,600675,1,2,2.81,4100,20230601093119,2.81,4100,20230601093119,4,12.43
6600527342800000000,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.9,200,20230601093120,2.9,200,20230601093120,4,0.05
6600527342800000100,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.9,1300,20230601093120,2.9,1300,20230601093120,4,0.3
6600527342810000000,6880527337660000700,20230601,1,202304181002,1,103,多策略,000935,1,2,16.87,2900,20230601093121,0.0,0,20230601093121,5,0.0
6600527342810000100,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.9,400,20230601093121,3.9,400,20230601093121,4,1.68
6600527342810000200,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.9,6400,20230601093121,3.9,6400,20230601093121,4,26.92
6600527342830000000,6880527336830006100,20230601,1,202305181001,1,103,多策略,002435,1,1,4.7,500,20230601093123,4.7,500,20230601093123,4,0.18
6600527342830000100,6880527337660006300,20230601,1,202304181002,1,103,多策略,002435,1,1,4.7,2000,20230601093123,4.7,2000,20230601093123,4,0.74
